year,state,state_po,first_place_party,first_place_vote_share,second_place_party,second_place_vote_share
2008,NORTH CAROLINA,NC,DEMOCRAT,0.497,REPUBLICAN,0.4937
2008,NORTH DAKOTA,ND,REPUBLICAN,0.5325,DEMOCRAT,0.4462
2008,OHIO,OH,DEMOCRAT,0.515,REPUBLICAN,0.4691
2008,OKLAHOMA,OK,REPUBLICAN,0.6565,DEMOCRAT,0.3435
2008,OREGON,OR,DEMOCRAT,0.5675,REPUBLICAN,0.404
2008,PENNSYLVANIA,PA,DEMOCRAT,0.5449,REPUBLICAN,0.4417
2008,RHODE ISLAND,RI,DEMOCRAT,0.6286,REPUBLICAN,0.3506
2008,SOUTH CAROLINA,SC,REPUBLICAN,0.5387,DEMOCRAT,0.449
2008,SOUTH DAKOTA,SD,REPUBLICAN,0.5316,DEMOCRAT,0.4475
2008,TENNESSEE,TN,REPUBLICAN,0.569,DEMOCRAT,0.4183
2008,TEXAS,TX,REPUBLICAN,0.5545,DEMOCRAT,0.4368
2008,UTAH,UT,REPUBLICAN,0.6258,DEMOCRAT,0.3441
2008,VERMONT,VT,DEMOCRAT,0.6746,REPUBLICAN,0.3045
2008,VIRGINIA,VA,DEMOCRAT,0.5263,REPUBLICAN,0.4633
2008,WASHINGTON,WA,DEMOCRAT,0.5765,REPUBLICAN,0.4048
2008,WEST VIRGINIA,WV,REPUBLICAN,0.5571,DEMOCRAT,0.4259
2008,WISCONSIN,WI,DEMOCRAT,0.5622,REPUBLICAN,0.4231
2008,WYOMING,WY,REPUBLICAN,0.6478,DEMOCRAT,0.3254
2012,ALABAMA,AL,REPUBLICAN,0.6055,DEMOCRAT,0.3836
2012,ALASKA,AK,REPUBLICAN,0.548,DEMOCRAT,0.4081
2012,ARIZONA,AZ,REPUBLICAN,0.5365,DEMOCRAT,0.4459
2012,ARKANSAS,AR,REPUBLICAN,0.6057,DEMOCRAT,0.3688
2012,CALIFORNIA,CA,DEMOCRAT,0.6024,REPUBLICAN,0.3712
2012,COLORADO,CO,DEMOCRAT,0.5149,REPUBLICAN,0.4613
2012,CONNECTICUT,CT,DEMOCRAT,0.5809,REPUBLICAN,0.4075
2012,DELAWARE,DE,DEMOCRAT,0.5861,REPUBLICAN,0.3998
2012,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.9091,REPUBLICAN,0.0728
2012,FLORIDA,FL,DEMOCRAT,0.5001,REPUBLICAN,0.4913
2012,GEORGIA,GA,REPUBLICAN,0.5333,DEMOCRAT,0.4551
2012,HAWAII,HI,DEMOCRAT,0.7055,REPUBLICAN,0.2784
2012,IDAHO,ID,REPUBLICAN,0.6453,DEMOCRAT,0.3262
2012,ILLINOIS,IL,DEMOCRAT,0.576,REPUBLICAN,0.4073
2012,INDIANA,IN,REPUBLICAN,0.5413,DEMOCRAT,0.4393
2012,IOWA,IA,DEMOCRAT,0.5199,REPUBLICAN,0.4618
2012,KANSAS,KS,REPUBLICAN,0.5971,DEMOCRAT,0.3799
2012,KENTUCKY,KY,REPUBLICAN,0.6049,DEMOCRAT,0.378
2012,LOUISIANA,LA,REPUBLICAN,0.5778,DEMOCRAT,0.4058
2012,MAINE,ME,DEMOCRAT,0.5627,REPUBLICAN,0.4098
2012,MARYLAND,MD,DEMOCRAT,0.6197,REPUBLICAN,0.359
2012,MASSACHUSETTS,MA,DEMOCRAT,0.6034,REPUBLICAN,0.3732
2012,MICHIGAN,MI,DEMOCRAT,0.5421,REPUBLICAN,0.4471
2012,MINNESOTA,MN,DEMOCRAT,0.5265,REPUBLICAN,0.4496
2012,MISSISSIPPI,MS,REPUBLICAN,0.5529,DEMOCRAT,0.4379
2012,MISSOURI,MO,REPUBLICAN,0.5376,DEMOCRAT,0.4438
2012,MONTANA,MT,REPUBLICAN,0.5535,DEMOCRAT,0.417
2012,NEBRASKA,NE,REPUBLICAN,0.598,DEMOCRAT,0.3803
2012,NEVADA,NV,DEMOCRAT,0.5236,REPUBLICAN,0.4568
2012,NEW HAMPSHIRE,NH,DEMOCRAT,0.5198,REPUBLICAN,0.464
2012,NEW JERSEY,NJ,DEMOCRAT,0.5834,REPUBLICAN,0.4062
2012,NEW MEXICO,NM,DEMOCRAT,0.5299,REPUBLICAN,0.4284
2012,NEW YORK,NY,DEMOCRAT,0.6284,REPUBLICAN,0.3492
2012,NORTH CAROLINA,NC,REPUBLICAN,0.5039,DEMOCRAT,0.4835
2012,NORTH DAKOTA,ND,REPUBLICAN,0.5832,DEMOCRAT,0.387
2012,OHIO,OH,DEMOCRAT,0.5067,REPUBLICAN,0.4769
2012,OKLAHOMA,OK,REPUBLICAN,0.6677,DEMOCRAT,0.3323
2012,OREGON,OR,DEMOCRAT,0.5424,REPUBLICAN,0.4215
2012,PENNSYLVANIA,PA,DEMOCRAT,0.5208,REPUBLICAN,0.4668
2012,RHODE ISLAND,RI,DEMOCRAT,0.627,REPUBLICAN,0.3524
2012,SOUTH CAROLINA,SC,REPUBLICAN,0.5456,DEMOCRAT,0.4409
2012,SOUTH DAKOTA,SD,REPUBLICAN,0.5789,DEMOCRAT,0.3987
2012,TENNESSEE,TN,REPUBLICAN,0.5948,DEMOCRAT,0.3908
2012,TEXAS,TX,REPUBLICAN,0.5717,DEMOCRAT,0.4138
2012,UTAH,UT,REPUBLICAN,0.7279,DEMOCRAT,0.2475
2012,VERMONT,VT,DEMOCRAT,0.6657,REPUBLICAN,0.3097
2012,VIRGINIA,VA,DEMOCRAT,0.5116,REPUBLICAN,0.4728
2012,WASHINGTON,WA,DEMOCRAT,0.5616,REPUBLICAN,0.4129
2012,WEST VIRGINIA,WV,REPUBLICAN,0.623,DEMOCRAT,0.3554
2012,WISCONSIN,WI,DEMOCRAT,0.5278,REPUBLICAN,0.4594
2012,WYOMING,WY,REPUBLICAN,0.6864,DEMOCRAT,0.2782
2016,ALABAMA,AL,REPUBLICAN,0.6208,DEMOCRAT,0.3436
2016,ALASKA,AK,REPUBLICAN,0.5128,DEMOCRAT,0.3655
2016,ARIZONA,AZ,REPUBLICAN,0.4867,DEMOCRAT,0.4513
2016,ARKANSAS,AR,REPUBLICAN,0.6057,DEMOCRAT,0.3365
2016,CALIFORNIA,CA,DEMOCRAT,0.6173,REPUBLICAN,0.3162
2016,COLORADO,CO,DEMOCRAT,0.4816,REPUBLICAN,0.4325
2016,CONNECTICUT,CT,DEMOCRAT,0.5457,REPUBLICAN,0.4093
2016,DELAWARE,DE,DEMOCRAT,0.5335,REPUBLICAN,0.4192
2016,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.9086,REPUBLICAN,0.0409
2016,FLORIDA,FL,REPUBLICAN,0.4902,DEMOCRAT,0.4782
2016,GEORGIA,GA,REPUBLICAN,0.5077,DEMOCRAT,0.4564
2016,HAWAII,HI,DEMOCRAT,0.6222,REPUBLICAN,0.3004
2016,IDAHO,ID,REPUBLICAN,0.5926,DEMOCRAT,0.2749
2016,ILLINOIS,IL,DEMOCRAT,0.5583,REPUBLICAN,0.3876
2016,INDIANA,IN,REPUBLICAN,0.5694,DEMOCRAT,0.3777
2016,IOWA,IA,REPUBLICAN,0.5116,DEMOCRAT,0.4175
2016,KANSAS,KS,REPUBLICAN,0.5665,DEMOCRAT,0.3605
2016,KENTUCKY,KY,REPUBLICAN,0.6252,DEMOCRAT,0.3268
2016,LOUISIANA,LA,REPUBLICAN,0.5809,DEMOCRAT,0.3845
2016,MAINE,ME,DEMOCRAT,0.4783,REPUBLICAN,0.4487
2016,MARYLAND,MD,DEMOCRAT,0.6033,REPUBLICAN,0.3391
2016,MASSACHUSETTS,MA,DEMOCRAT,0.6001,REPUBLICAN,0.3281
2016,MICHIGAN,MI,REPUBLICAN,0.475,DEMOCRAT,0.4727
2016,MINNESOTA,MN,DEMOCRAT,0.4645,REPUBLICAN,0.4493
2016,MISSISSIPPI,MS,REPUBLICAN,0.5794,DEMOCRAT,0.4011
2016,MISSOURI,MO,REPUBLICAN,0.5677,DEMOCRAT,0.3814
2016,MONTANA,MT,REPUBLICAN,0.5647,DEMOCRAT,0.3594
2016,NEBRASKA,NE,REPUBLICAN,0.5875,DEMOCRAT,0.337
2016,NEVADA,NV,DEMOCRAT,0.4792,REPUBLICAN,0.455
2016,NEW HAMPSHIRE,NH,DEMOCRAT,0.4683,REPUBLICAN,0.4646
2016,NEW JERSEY,NJ,DEMOCRAT,0.5545,REPUBLICAN,0.4135
2016,NEW MEXICO,NM,DEMOCRAT,0.4826,REPUBLICAN,0.4004
2016,NEW YORK,NY,DEMOCRAT,0.5901,REPUBLICAN,0.3652
2016,NORTH CAROLINA,NC,REPUBLICAN,0.4983,DEMOCRAT,0.4617
2016,NORTH DAKOTA,ND,REPUBLICAN,0.6296,DEMOCRAT,0.2723
2016,OHIO,OH,REPUBLICAN,0.5169,DEMOCRAT,0.4356
2016,OKLAHOMA,OK,REPUBLICAN,0.6532,DEMOCRAT,0.2893
2016,OREGON,OR,DEMOCRAT,0.5007,REPUBLICAN,0.3909
2016,PENNSYLVANIA,PA,REPUBLICAN,0.4858,DEMOCRAT,0.4785
2016,RHODE ISLAND,RI,DEMOCRAT,0.5441,REPUBLICAN,0.389
2016,SOUTH CAROLINA,SC,REPUBLICAN,0.5494,DEMOCRAT,0.4067
2016,SOUTH DAKOTA,SD,REPUBLICAN,0.6153,DEMOCRAT,0.3174
2016,TENNESSEE,TN,REPUBLICAN,0.6072,DEMOCRAT,0.3472
2016,TEXAS,TX,REPUBLICAN,0.5223,DEMOCRAT,0.4324
2016,UTAH,UT,REPUBLICAN,0.4554,DEMOCRAT,0.2746
2016,VERMONT,VT,DEMOCRAT,0.5668,REPUBLICAN,0.3027
2016,VIRGINIA,VA,DEMOCRAT,0.4975,REPUBLICAN,0.4443
2016,WASHINGTON,WA,DEMOCRAT,0.5254,REPUBLICAN,0.3683
2016,WEST VIRGINIA,WV,REPUBLICAN,0.6863,DEMOCRAT,0.2648
2016,WISCONSIN,WI,REPUBLICAN,0.4722,DEMOCRAT,0.4645
2016,WYOMING,WY,REPUBLICAN,0.6817,DEMOCRAT,0.2188
2020,ALABAMA,AL,REPUBLICAN,0.6203,DEMOCRAT,0.3657
2020,ALASKA,AK,REPUBLICAN,0.5283,DEMOCRAT,0.4277
2020,ARIZONA,AZ,DEMOCRAT,0.4936,REPUBLICAN,0.4906
2020,ARKANSAS,AR,REPUBLICAN,0.624,DEMOCRAT,0.3478
2020,CALIFORNIA,CA,DEMOCRAT,0.6348,REPUBLICAN,0.3432
2020,COLORADO,CO,DEMOCRAT,0.5501,REPUBLICAN,0.416
2020,CONNECTICUT,CT,DEMOCRAT,0.5926,REPUBLICAN,0.3919
2020,DELAWARE,DE,DEMOCRAT,0.5874,REPUBLICAN,0.3977
2020,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.9215,REPUBLICAN,0.054
2020,FLORIDA,FL,REPUBLICAN,0.5122,DEMOCRAT,0.4786
2020,GEORGIA,GA,DEMOCRAT,0.4947,REPUBLICAN,0.4924
2020,HAWAII,HI,DEMOCRAT,0.6319,REPUBLICAN,0.3398
2020,IDAHO,ID,REPUBLICAN,0.6384,DEMOCRAT,0.3307
2020,ILLINOIS,IL,DEMOCRAT,0.5754,REPUBLICAN,0.4055
2020,INDIANA,IN,REPUBLICAN,0.5702,DEMOCRAT,0.4096
2020,IOWA,IA,REPUBLICAN,0.5309,DEMOCRAT,0.4489
2020,KANSAS,KS,REPUBLICAN,0.5621,DEMOCRAT,0.4156
2020,KENTUCKY,KY,REPUBLICAN,0.6209,DEMOCRAT,0.3615
2020,LOUISIANA,LA,REPUBLICAN,0.5846,DEMOCRAT,0.3985
2020,MAINE,ME,DEMOCRAT,0.5253,REPUBLICAN,0.4355
2020,MARYLAND,MD,DEMOCRAT,0.6536,REPUBLICAN,0.3215
2020,MASSACHUSETTS,MA,DEMOCRAT,0.6512,REPUBLICAN,0.3191
2020,MICHIGAN,MI,DEMOCRAT,0.5062,REPUBLICAN,0.4784
2020,MINNESOTA,MN,DEMOCRAT,0.524,REPUBLICAN,0.4528
2020,MISSISSIPPI,MS,REPUBLICAN,0.576,DEMOCRAT,0.4106
2020,MISSOURI,MO,REPUBLICAN,0.568,DEMOCRAT,0.4141
2020,MONTANA,MT,REPUBLICAN,0.5692,DEMOCRAT,0.4055
2020,NEBRASKA,NE,REPUBLICAN,0.5822,DEMOCRAT,0.3917
2020,NEVADA,NV,DEMOCRAT,0.5006,REPUBLICAN,0.4767
2020,NEW HAMPSHIRE,NH,DEMOCRAT,0.5271,REPUBLICAN,0.4536
2020,NEW JERSEY,NJ,DEMOCRAT,0.5733,REPUBLICAN,0.414
2020,NEW MEXICO,NM,DEMOCRAT,0.5429,REPUBLICAN,0.435
2020,NEW YORK,NY,DEMOCRAT,0.6056,REPUBLICAN,0.3756
2020,NORTH CAROLINA,NC,REPUBLICAN,0.4993,DEMOCRAT,0.4859
2020,NORTH DAKOTA,ND,REPUBLICAN,0.6511,DEMOCRAT,0.3176
2020,OHIO,OH,REPUBLICAN,0.5327,DEMOCRAT,0.4524
2020,OKLAHOMA,OK,REPUBLICAN,0.6537,DEMOCRAT,0.3229
2020,OREGON,OR,DEMOCRAT,0.5645,REPUBLICAN,0.4037
2020,PENNSYLVANIA,PA,DEMOCRAT,0.5001,REPUBLICAN,0.4884
2020,RHODE ISLAND,RI,DEMOCRAT,0.5948,REPUBLICAN,0.3867
2020,SOUTH CAROLINA,SC,REPUBLICAN,0.5509,DEMOCRAT,0.4342
2020,SOUTH DAKOTA,SD,REPUBLICAN,0.6177,DEMOCRAT,0.3561
2020,TENNESSEE,TN,REPUBLICAN,0.6066,DEMOCRAT,0.3745
2020,TEXAS,TX,REPUBLICAN,0.5206,DEMOCRAT,0.4648
2020,UTAH,UT,REPUBLICAN,0.5813,DEMOCRAT,0.3765
2020,VERMONT,VT,DEMOCRAT,0.655,REPUBLICAN,0.304
2020,VIRGINIA,VA,DEMOCRAT,0.5411,REPUBLICAN,0.44
2020,WASHINGTON,WA,DEMOCRAT,0.5797,REPUBLICAN,0.3877
2020,WEST VIRGINIA,WV,REPUBLICAN,0.6863,DEMOCRAT,0.297
2020,WISCONSIN,WI,DEMOCRAT,0.4945,REPUBLICAN,0.4882
2020,WYOMING,WY,REPUBLICAN,0.6994,DEMOCRAT,0.2655
2024,ALABAMA,AL,REPUBLICAN,0.6458,DEMOCRAT,0.341
2024,ALASKA,AK,REPUBLICAN,0.5454,DEMOCRAT,0.4141
2024,ARIZONA,AZ,REPUBLICAN,0.5205,DEMOCRAT,0.4654
2024,ARKANSAS,AR,REPUBLICAN,0.642,DEMOCRAT,0.3356
2024,CALIFORNIA,CA,DEMOCRAT,0.5848,REPUBLICAN,0.3834
2024,COLORADO,CO,DEMOCRAT,0.5416,REPUBLICAN,0.4317
2024,CONNECTICUT,CT,DEMOCRAT,0.564,REPUBLICAN,0.4189
2024,DELAWARE,DE,DEMOCRAT,0.5663,REPUBLICAN,0.4189
2024,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.9027,REPUBLICAN,0.0647
2024,FLORIDA,FL,REPUBLICAN,0.5609,DEMOCRAT,0.4299
2024,GEORGIA,GA,REPUBLICAN,0.5073,DEMOCRAT,0.4853
2024,HAWAII,HI,DEMOCRAT,0.6059,REPUBLICAN,0.3748
2024,IDAHO,ID,REPUBLICAN,0.6687,DEMOCRAT,0.3038
2024,ILLINOIS,IL,DEMOCRAT,0.5437,REPUBLICAN,0.4347
2024,INDIANA,IN,REPUBLICAN,0.5858,DEMOCRAT,0.3962
2024,IOWA,IA,REPUBLICAN,0.5573,DEMOCRAT,0.4252
2024,KANSAS,KS,REPUBLICAN,0.5716,DEMOCRAT,0.4104
2024,KENTUCKY,KY,REPUBLICAN,0.6447,DEMOCRAT,0.3394
2024,LOUISIANA,LA,REPUBLICAN,0.6022,DEMOCRAT,0.3821
2024,MAINE,ME,DEMOCRAT,0.5217,REPUBLICAN,0.4571
2024,MARYLAND,MD,DEMOCRAT,0.6262,REPUBLICAN,0.3408
2024,MASSACHUSETTS,MA,DEMOCRAT,0.6122,REPUBLICAN,0.3602
2024,MICHIGAN,MI,REPUBLICAN,0.4973,DEMOCRAT,0.4831
2024,MINNESOTA,MN,DEMOCRAT,0.5092,REPUBLICAN,0.4668
2024,MISSISSIPPI,MS,REPUBLICAN,0.6089,DEMOCRAT,0.38
2024,MISSOURI,MO,REPUBLICAN,0.5849,DEMOCRAT,0.4008
2024,MONTANA,MT,REPUBLICAN,0.5839,DEMOCRAT,0.3846
2024,NEBRASKA,NE,REPUBLICAN,0.5963,DEMOCRAT,0.3906
2024,NEVADA,NV,REPUBLICAN,0.5059,DEMOCRAT,0.4749
2024,NEW HAMPSHIRE,NH,DEMOCRAT,0.5065,REPUBLICAN,0.4787
2024,NEW JERSEY,NJ,DEMOCRAT,0.5197,REPUBLICAN,0.4606
2024,NEW MEXICO,NM,DEMOCRAT,0.5199,REPUBLICAN,0.4597
2024,NEW YORK,NY,DEMOCRAT,0.5591,REPUBLICAN,0.4331
2024,NORTH CAROLINA,NC,REPUBLICAN,0.5086,DEMOCRAT,0.4765
2024,NORTH DAKOTA,ND,REPUBLICAN,0.6696,DEMOCRAT,0.3051
2024,OHIO,OH,REPUBLICAN,0.5514,DEMOCRAT,0.4393
2024,OKLAHOMA,OK,REPUBLICAN,0.6616,DEMOCRAT,0.319
2024,OREGON,OR,DEMOCRAT,0.5527,REPUBLICAN,0.4097
2024,PENNSYLVANIA,PA,REPUBLICAN,0.5037,DEMOCRAT,0.4866
2024,RHODE ISLAND,RI,DEMOCRAT,0.5544,REPUBLICAN,0.4187
2024,SOUTH CAROLINA,SC,REPUBLICAN,0.5823,DEMOCRAT,0.4036
2024,SOUTH DAKOTA,SD,REPUBLICAN,0.6343,DEMOCRAT,0.3424
2024,TENNESSEE,TN,REPUBLICAN,0.6419,DEMOCRAT,0.3447
2024,TEXAS,TX,REPUBLICAN,0.5614,DEMOCRAT,0.4246
2024,UTAH,UT,REPUBLICAN,0.5938,DEMOCRAT,0.3779
2024,VERMONT,VT,DEMOCRAT,0.6356,REPUBLICAN,0.3256
2024,VIRGINIA,VA,DEMOCRAT,0.521,REPUBLICAN,0.4629
2024,WASHINGTON,WA,DEMOCRAT,0.5723,REPUBLICAN,0.3901
2024,WEST VIRGINIA,WV,REPUBLICAN,0.6998,DEMOCRAT,0.2811
2024,WISCONSIN,WI,REPUBLICAN,0.496,DEMOCRAT,0.4874
2024,WYOMING,WY,REPUBLICAN,0.716,DEMOCRAT,0.2584
